Unemployment Rates for States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unemployment Rates for States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Rankings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annual Average Rankings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012 - 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023,,,2022,,,2021,,,2020,,,2019,,,2018,,,2017,,,2016,,,2015,,,2014,,,2013,,,2012,,,2011,,,2010,,,2009,,,2008,,,2007,,,2006,,,2005,,,2004,,,2003,,,2002,,,2001,,,2000,,
State,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,,Rate,Rank,
Minnesota,2.8,10,,2.6,8,,3.7,11,,6.3,15,,3.3,20,,3.0,10,,3.5,13,,3.9,12,,3.8,10,,4.3,8,,5.0,9,,5.6,10,,6.5,10,,7.4,13,,7.9,19,,5.4,27,,4.6,28,,4.1,18,,4.1,12,,4.6,14,,4.8,13,,4.5,11,,3.8,11,,3.0,10,
Mississippi,3.2,23,,3.8,32,,5.4,33,,8.0,34,,5.5,49,,4.9,47,,5.2,47,,5.9,44,,6.5,47,,7.6,47,,8.5,46,,8.8,40,,9.8,41,,10.1,36,,9.4,34,,6.7,44,,6.2,49,,6.4,48,,7.6,51,,6.1,42,,6.1,35,,6.4,42,,5.5,44,,5.3,48,
Missouri,3.0,17,,2.6,8,,4.2,20,,6.2,13,,3.2,16,,3.2,14,,3.7,16,,4.5,21,,5.1,26,,6.2,29,,6.8,25,,7.2,22,,8.6,30,,9.5,31,,9.0,31,,6.2,36,,5.1,38,,4.9,33,,5.4,33,,5.9,39,,5.7,27,,5.3,23,,4.5,26,,3.4,16,
Montana,2.9,11,,2.7,11,,3.4,6,,5.8,9,,3.5,25,,3.7,23,,4.1,23,,4.3,18,,4.3,14,,4.7,14,,5.4,13,,5.8,12,,6.6,11,,7.2,11,,7.1,13,,4.7,15,,3.4,10,,3.3,8,,4.1,12,,4.5,12,,4.7,12,,4.6,14,,4.6,29,,4.8,42,
Nebraska,2.3,6,,2.2,3,,2.6,1,,4.3,2,,3.1,14,,2.9,7,,3.0,5,,3.1,4,,3.0,2,,3.3,2,,3.7,2,,3.9,2,,4.4,2,,4.7,2,,4.7,3,,3.2,4,,2.9,5,,3.0,4,,3.8,8,,3.9,8,,3.9,3,,3.7,3,,3.1,4,,2.8,7,
Nevada,5.1,51,,5.2,51,,6.8,47,,13.5,51,,4.1,38,,4.4,40,,5.0,42,,5.8,43,,6.8,50,,8.2,51,,10.0,51,,11.6,51,,13.3,51,,13.8,51,,11.7,50,,6.9,47,,4.6,28,,4.0,16,,4.1,12,,4.4,11,,5.3,17,,5.7,30,,5.2,37,,4.1,31,
New Hampshire,2.2,5,,2.3,4,,3.4,6,,6.7,23,,2.6,5,,2.6,4,,2.8,4,,2.9,1,,3.4,4,,4.3,8,,5.3,11,,5.4,8,,5.5,4,,6.1,4,,6.1,4,,3.7,7,,3.5,11,,3.5,11,,3.6,5,,3.8,5,,4.5,9,,4.5,11,,3.4,8,,2.7,4,
New Jersey,4.4,47,,3.9,34,,6.7,46,,9.4,46,,3.5,25,,4.0,30,,4.5,30,,4.9,28,,5.7,36,,6.7,39,,8.4,44,,9.4,47,,9.4,36,,9.7,33,,9.0,31,,5.4,27,,4.2,22,,4.6,27,,4.4,17,,4.9,18,,5.8,30,,5.8,33,,4.2,17,,3.7,22,
New Mexico,3.8,36,,4.1,40,,7.1,49,,7.9,32,,5.0,47,,4.9,47,,6.1,49,,6.7,51,,6.6,48,,6.6,36,,6.9,27,,7.0,20,,7.2,15,,7.8,15,,7.1,13,,4.3,10,,3.6,12,,4.2,20,,5.2,31,,5.6,32,,5.9,33,,5.5,27,,5.0,34,,5.0,44,
New York,4.2,44,,4.3,46,,7.1,49,,9.8,47,,3.9,35,,4.1,35,,4.6,35,,4.9,28,,5.2,27,,6.3,30,,7.8,36,,8.6,38,,8.3,28,,8.7,25,,8.4,27,,5.4,27,,4.4,24,,4.5,26,,5.0,26,,5.8,37,,6.4,40,,6.2,38,,4.9,33,,4.5,39,
North Carolina,3.5,32,,3.7,29,,4.9,26,,7.2,25,,3.9,35,,4.0,30,,4.5,30,,5.1,35,,5.7,36,,6.1,28,,7.8,36,,9.5,48,,10.3,47,,10.7,43,,11.0,46,,6.2,36,,5.1,38,,5.1,38,,5.6,39,,5.9,39,,6.7,42,,6.9,47,,5.6,46,,3.7,22,
North Dakota,1.9,1,,2.0,1,,3.0,4,,4.9,4,,2.2,2,,2.4,1,,2.6,2,,3.1,4,,2.8,1,,2.6,1,,2.9,1,,2.9,1,,3.3,1,,3.7,1,,3.9,1,,3.1,2,,3.0,6,,3.1,7,,3.3,3,,3.4,2,,3.5,1,,3.4,2,,2.8,1,,3.0,10,
Ohio,3.5,32,,4.0,38,,5.1,27,,8.2,37,,4.2,42,,4.5,44,,5.0,42,,5.0,32,,5.0,23,,5.8,23,,7.5,33,,7.4,27,,8.8,32,,10.3,38,,10.2,40,,6.6,43,,5.6,46,,5.4,44,,5.9,43,,6.3,45,,6.2,37,,5.8,33,,4.4,22,,4.1,31,
Oklahoma,3.2,23,,3.1,19,,4.0,18,,6.3,15,,3.1,14,,3.3,16,,4.0,21,,4.6,23,,4.3,14,,4.3,8,,5.1,10,,5.1,6,,5.6,5,,6.5,7,,6.6,8,,3.6,6,,4.0,19,,3.9,14,,4.3,15,,4.7,16,,5.4,19,,4.6,14,,3.6,9,,3.0,10,
Oregon,3.7,34,,3.9,34,,5.2,30,,7.6,29,,3.7,33,,4.0,30,,4.1,23,,4.7,25,,5.5,32,,6.7,39,,7.8,36,,8.8,40,,9.6,39,,10.7,43,,10.8,44,,6.2,36,,5.2,42,,5.4,44,,6.2,45,,7.4,48,,8.0,51,,7.5,51,,6.4,50,,5.2,46,
Pennsylvania,3.4,30,,4.1,40,,5.9,41,,8.9,42,,4.3,44,,4.4,40,,5.0,42,,5.3,38,,5.4,29,,5.9,24,,7.1,29,,7.7,29,,7.8,22,,8.2,20,,8.0,21,,5.3,24,,4.6,28,,4.7,29,,5.0,26,,5.4,28,,5.7,27,,5.6,28,,4.8,31,,4.2,34,
Rhode Island,3.0,17,,3.2,23,,5.5,35,,9.2,43,,3.5,25,,4.0,30,,4.5,30,,5.2,36,,6.0,39,,7.8,50,,9.5,50,,10.2,49,,11.0,49,,11.6,48,,11.4,47,,7.6,50,,5.1,38,,5.2,40,,5.1,28,,5.3,26,,5.6,23,,5.1,18,,4.5,26,,4.0,29,
South Carolina,3.0,17,,3.2,23,,3.9,13,,6.0,12,,2.8,8,,3.4,17,,4.2,25,,4.9,28,,5.9,38,,6.3,30,,7.4,32,,9.0,42,,10.4,48,,11.3,47,,11.4,47,,7.3,48,,6.1,48,,6.9,50,,7.3,50,,7.4,48,,7.2,47,,6.4,42,,5.3,41,,3.7,22,
South Dakota,2.0,2,,2.0,1,,2.6,1,,4.2,1,,2.8,8,,2.8,6,,3.1,7,,3.0,3,,3.0,2,,3.3,2,,3.7,2,,4.1,3,,4.6,3,,4.9,3,,4.6,2,,3.1,2,,2.8,4,,3.0,4,,3.6,5,,3.6,3,,3.5,1,,3.2,1,,3.0,3,,2.5,3,
Tennessee,3.3,27,,3.4,27,,4.5,21,,7.4,27,,3.3,20,,3.5,20,,3.7,16,,4.7,25,,5.6,34,,6.6,36,,7.8,36,,8.0,31,,9.1,35,,9.8,34,,10.1,38,,6.5,39,,4.6,28,,5.3,43,,5.5,36,,5.3,26,,5.5,20,,5.1,18,,4.5,26,,3.9,28,
Texas,3.9,38,,3.9,34,,5.6,38,,7.7,30,,3.5,25,,3.9,27,,4.3,26,,4.6,23,,4.5,19,,5.2,17,,6.3,15,,6.7,15,,8.0,26,,8.2,20,,7.5,16,,4.9,18,,4.4,24,,5.0,35,,5.5,36,,6.0,41,,6.7,42,,6.3,41,,5.0,34,,4.4,37,
Utah,2.6,8,,2.4,6,,2.8,3,,4.8,3,,2.5,3,,2.9,7,,3.1,7,,3.3,8,,3.5,6,,3.6,4,,4.2,4,,4.8,4,,7.1,14,,7.9,17,,7.3,15,,3.3,5,,2.6,1,,2.8,3,,4.0,10,,5.0,20,,5.6,23,,5.7,30,,4.4,22,,3.3,14,
Vermont,2.0,2,,2.3,4,,3.6,9,,5.6,8,,2.1,1,,2.5,3,,3.0,5,,3.1,4,,3.5,6,,4.0,5,,4.4,5,,4.8,4,,5.6,5,,6.3,6,,6.2,5,,4.5,12,,3.9,18,,3.7,12,,3.5,4,,3.7,4,,4.4,7,,3.8,4,,3.3,5,,2.8,7,
Virginia,2.9,11,,2.8,12,,3.9,13,,6.4,17,,2.8,8,,3.0,10,,3.7,16,,4.0,14,,4.4,16,,5.1,16,,5.6,14,,5.9,13,,6.6,11,,7.3,12,,6.8,10,,4.3,10,,3.3,8,,3.3,8,,3.8,8,,4.1,9,,4.3,5,,4.4,9,,3.3,5,,2.3,2,
Washington,4.1,43,,4.1,40,,5.2,30,,8.5,40,,4.2,42,,4.4,40,,4.6,35,,5.2,36,,5.4,29,,5.9,24,,6.6,18,,7.7,29,,8.5,29,,9.1,29,,8.3,24,,5.2,23,,4.6,28,,5.0,35,,5.6,39,,6.3,45,,7.2,47,,7.1,49,,6.0,48,,5.1,45,
West Virginia,3.9,38,,3.9,34,,5.1,27,,8.2,37,,5.0,47,,5.1,49,,5.2,47,,6.1,47,,6.6,48,,6.5,35,,6.7,21,,7.2,22,,7.8,22,,8.7,25,,8.3,24,,4.7,15,,4.8,35,,5.2,40,,5.5,36,,5.8,37,,6.6,41,,6.5,44,,5.4,42,,5.6,49,
Wisconsin,3.0,17,,2.9,16,,3.9,13,,6.4,17,,3.2,16,,3.0,10,,3.3,11,,3.9,12,,4.4,16,,5.3,18,,6.7,21,,6.9,18,,7.6,19,,8.5,24,,9.0,31,,4.9,18,,4.8,35,,4.7,29,,4.8,22,,5.0,20,,5.6,23,,5.3,23,,4.4,22,,3.4,16,
Wyoming,2.9,11,,3.4,27,,4.5,21,,5.9,11,,3.7,33,,4.1,35,,4.3,26,,5.4,39,,4.2,12,,4.3,8,,4.8,7,,5.5,9,,6.2,8,,6.9,9,,6.3,6,,2.9,1,,2.6,1,,3.0,4,,3.6,5,,3.8,5,,4.3,5,,4.0,5,,3.8,11,,3.8,25,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Bureau of Labor Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/2024,,,Source: Bureau of Labor Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/2024,
